CODIGO_ENTIDAD,NOMBRE,TIPO_GESTION
27,UNIVERSIDAD NACIONAL DEL CALLAO,PÚBLICO
28,UNIVERSIDAD NACIONAL JOSÉ FAUSTINO SÁNCHEZ CARRIÓN,PÚBLICO
31,UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO,PÚBLICO
34,UNIVERSIDAD NACIONAL DE SAN MARTÍN,PÚBLICO
36,UNIVERSIDAD ANDINA NÉSTOR CÁCERES VELÁSQUEZ,PRIVADO
37,UNIVERSIDAD PERUANA LOS ANDES,PRIVADO
40,UNIVERSIDAD TECNOLÓGICA DE LOS ANDES,PRIVADO
41,UNIVERSIDAD NACIONAL DE TUMBES,PÚBLICO
42,UNIVERSIDAD NACIONAL DEL SANTA,PÚBLICO
44,UNIVERSIDAD PARTICULAR DE CHICLAYO,PRIVADO
47,UNIVERSIDAD DE HUÁNUCO,PRIVADO
51,UNIVERSIDAD NACIONAL DE HUANCAVELICA,PÚBLICO
52,UNIVERSIDAD CÉSAR VALLEJO S.A.C.,PRIVADO
59,UNIVERSIDAD ALAS PERUANAS S.A.,PRIVADO
61,UNIVERSIDAD PRIVADA NORBERT WIENER S.A.,PRIVADO
65,UNIVERSIDAD TECNOLÓGICA DEL PERÚ S.A.C.,PRIVADO
70,UNIVERSIDAD PRIVADA ANTONIO GUILLERMO URRELO S.A.C.,PRIVADO
72,UNIVERSIDAD SEÑOR DE SIPÁN S.A.C.,PRIVADO
75,UNIVERSIDAD NACIONAL AMAZÓNICA DE MADRE DE DIOS,PÚBLICO
77,UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURÍMAC,PÚBLICO
78,UNIVERSIDAD PERUANA DE LAS AMÉRICAS S.A.C.,PRIVADO
81,UNIVERSIDAD PERUANA DE CIENCIAS E INFORMÁTICA S.A.C.,PRIVADO
83,UNIVERSIDAD PRIVADA TELESUP S.A.C.,PRIVADO
45,UNIVERSIDAD SAN PEDRO,PRIVADO
48,UNIVERSIDAD JOSÉ CARLOS MARIÁTEGUI,PRIVADO
50,UNIVERSIDAD CIENTÍFICA DEL PERÚ,PRIVADO
53,UNIVERSIDAD CATÓLICA LOS ÁNGELES DE CHIMBOTE,PRIVADO
64,UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA S.A.C.,PRIVADO
74,UNIVERSIDAD CATÓLICA DE TRUJILLO BENEDICTO XVI,PRIVADO
85,UNIVERSIDAD PRIVADA SERGIO BERNALES S.A.,PRIVADO
86,UNIVERSIDAD PRIVADA DE PUCALLPA S.A.C.,PRIVADO
90,UNIVERSIDAD PRIVADA DE TRUJILLO,PRIVADO
91,UNIVERSIDAD PRIVADA SAN CARLOS S.A.C.,PRIVADO
92,UNIVERSIDAD PERUANA SIMÓN BOLÍVAR S.A.C.,PRIVADO
94,UNIVERSIDAD PERUANA DEL ORIENTE S.A.C.,PRIVADO
99,UNIVERSIDAD PRIVADA JUAN MEJÍA BACA S.A.C.,PRIVADO
102,UNIVERSIDAD PERUANA DEL CENTRO,PRIVADO
103,UNIVERSIDAD PRIVADA ARZOBISPO LOAYZA S.A.C.,PRIVADO
105,UNIVERSIDAD PRIVADA DE HUANCAYO FRANKLIN ROOSEVELT S.A.C.,PRIVADO
106,UNIVERSIDAD NACIONAL DE FRONTERA,PÚBLICO
111,UNIVERSIDAD CIENCIAS DE LA SALUD S.A.C.,PRIVADO
112,UNIVERSIDAD DE AYACUCHO FEDERICO FROEBEL S.A.C.,PRIVADO
114,UNIVERSIDAD PERUANA AUSTRAL DEL CUSCO S.A.C.,PRIVADO
115,UNIVERSIDAD AUTÓNOMA SAN FRANCISCO S.A.C.,PRIVADO
116,UNIVERSIDAD SAN ANDRÉS S.A.C.,PRIVADO
117,UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO S.A.C.,PRIVADO
118,UNIVERSIDAD PRIVADA JUAN PABLO II S.A.C.,PRIVADO
119,UNIVERSIDAD PRIVADA LEONARDO DA VINCI S.A.C.,PRIVADO
125,UNIVERSIDAD NACIONAL INTERCULTURAL DE QUILLABAMBA,PÚBLICO
134,UNIVERSIDAD LATINOAMERICANA CIMA S.A.C.,PRIVADO
135,UNIVERSIDAD PRIVADA AUTÓNOMA DEL SUR S.A.C.,PRIVADO
140,UNIVERSIDAD SANTO DOMINGO DE GUZMÁN S.A.C.,PRIVADO
142,UNIVERSIDAD PRIVADA LÍDER PERUANA S.A.C.,PRIVADO
143,UNIVERSIDAD PRIVADA PERUANO ALEMANA S.A.C.,PRIVADO
144,UNIVERSIDAD GLOBAL DEL CUSCO S.A.C.,PRIVADO
145,UNIVERSIDAD PERUANA SANTO TOMÁS DE AQUINO DE CIENCIA E INTEGRACIÓN S.A.C.,PRIVADO
146,UNIVERSIDAD PRIVADA SISE S.A.C.,PRIVADO
63,GRUPO EDUCATIVO UNIVERSIDAD PRIVADA DE ICA S.A.C.,PRIVADO
87,UNIVERSIDAD AUTÓNOMA DE ICA S.A.C.,PRIVADO
110,UNIVERSIDAD PRIVADA DE LA SELVA PERUANA S.A.C.,PRIVADO
137,UNIVERSIDAD POLITÉCNICA AMAZÓNICA S.A.C.,PRIVADO
93,UNIVERSIDAD PERUANA DE INTEGRACIÓN GLOBAL S.A.C.,PRIVADO
107,UNIVERSIDAD DE LAMBAYEQUE S.A.C.,PRIVADO
109,UNIVERSIDAD PERUANA DE ARTE ORVAL S.A.C.,PRIVADO
113,UNIVERSIDAD PERUANA DE INVESTIGACIÓN Y NEGOCIOS S.A.C.,PRIVADO
141,UNIVERSIDAD MARÍTIMA DEL PERÚ S.A.C.,PRIVADO
149,FACULTAD DE TEOLOGÍA PONTIFICIA Y CIVIL DE LIMA,PRIVADO
